D20,Game Bug,Infinite Feature Loop,A feature does not reach its valid completion state,"The single-round game time is too long, or a special feature generates an extremely large number of spin records.","Logs show that the end condition of a special feature can never be met, falling into an infinite loop."
D21,Game Bug,Multiplier Persistence Error,A multiplier remains active beyond its intended lifecycle,The multiplier of a special feature is incorrectly applied to subsequent game rounds.,"State logs show that the multiplier variable is not cleared after the feature ends, continuing to affect subsequent payout calculations."
D22,Game Bug,Multiplier Reset Error,"A multiplier resets when it should persist, or fails to reset when required",A multiplier that should accumulate is reset when it shouldn't be.,Logs show the multiplier variable is erroneously initialized to 1 between spins.
D23,Game Bug,Sticky Wild Persistence Error,Sticky or persistent wilds remain too long or disappear too early,Sticky wild symbols disappear too early or stay too long.,"Reel logs show abnormalities in the lifecycle counter of Sticky Wilds, causing incorrect symbol states."
D24,Game Bug,Feature Activation Timing Error,A feature activates one spin too early or too late,Purchased or triggered features take effect in the wrong round.,Event logs show a delay or advance between the feature activation flag and the actual round it is applied to.
D25,Game Bug,State Reset After Reload,"Reloading or reconnecting resets, duplicates, or modifies active feature state","After a player disconnects and reconnects, previously accumulated game progress or state is lost.",Reconnect logs show the system failed to correctly load the pre-disconnect state snapshot from the database.
D26,Game Bug,Cross-Mode State Leakage,"Base-game state incorrectly affects Free Game, Respin, Feature Buy, or another mode",State variables from the base game incorrectly affect the outcome of special features.,State logs show that incompatible variables are shared between different game modes.
D27,Game Bug,Cross-Player State Contamination,"One player receives state, symbols, meters, or results belonging to another player",Game progress or states of different players are mixed up.,Logs show that state data belonging to Player B appears in Player A's session.
D28,Game Bug,Conflicting Waiting Flags,Mutually exclusive presentation or feature flags are active simultaneously,"Abnormal frontend game state, potentially causing lag or display errors.",State logs show that two mutually exclusive waiting flags are set to True simultaneously.
D29,Game Bug,Feature Flag Missing,A feature condition occurs but the related API or presentation flag is not produced,"Specific conditions are met, but corresponding event trigger records are missing.",Logs show the backend met the condition but did not send the corresponding Feature Flag to the frontend.
D30,Game Bug,Feature Flag False Positive,A feature or near-miss flag is produced without the required underlying condition,"Specific conditions are not met, but there are event trigger records.","Logs show the backend sent a Feature Flag, but the actual reels did not meet the trigger condition."
ID,Category,Risk Scenario,Description,,
D31,Game Bug,Incorrect Paytable,Production payout mapping differs from the approved math model,The actual payout amount does not match the theoretical value set in the paytable.,Payout calculation logs show that an incorrect payout multiplier was applied.
D32,Game Bug,Reel Strip Mismatch,Production reel strips differ from the certified or configured strips,The symbol appearance frequency does not match the theoretical probability set in the reel strips.,Reel generation logs show that an incorrect version of the reel strip configuration file was applied.
D33,Game Bug,Wrong Math Model Version,Game results are calculated using a math model different from the declared version,The overall RTP or volatility significantly differs from the official math model.,"System logs show the server loaded an incorrect math model version (e.g., a test version)."
D34,Game Bug,Invalid Symbol Combination,The result contains symbol combinations impossible under the configured reel strips or game rules,Symbol combinations that are impossible under the reel strip design have appeared.,Reel logs record invalid coordinate mapping or illegal symbol IDs.
D35,Game Bug,Wild Substitution Error,"Wild substitutes for symbols it should not replace, or fails to substitute when required","The substitution logic for wild symbols is incorrect, causing abnormal wins or non-wins.","Line win determination logs show that a Wild symbol substituted for a symbol it shouldn't have (e.g., Scatter)."
D36,Game Bug,Scatter Evaluation Error,"Scatter wins or triggers are calculated using incorrect count, position, or eligibility rules","The determination logic for Scatter symbols is incorrect, causing abnormal payouts or trigger counts.",Logs show that the quantity calculation or position determination of Scatters does not comply with game rules.
D37,Game Bug,Wild-Scatter Coexistence Violation,Wild and scatter symbols appear together where the game rules prohibit that combination,Symbols that are not allowed to appear simultaneously according to the rules appear on the reels at the same time.,"Reel generation logs show that the mutual exclusion logic failed, causing conflicting symbols to coexist."
D38,Game Bug,Full-Reel Feature Error,"Full-reel wild, character, or other reel feature produces incorrect symbol count or placement",Features involving full-reel transformations do not correctly cover the expected range.,Reel logs show coordinate calculation errors when the full-reel replacement feature is executed.
D39,Game Bug,Line / Ways Evaluation Error,"Valid wins are missed, duplicated, or paid using the wrong line or ways logic",The determination result of winning lines does not match the actual reels.,Line win determination logs show errors in the path tracking algorithm for Paylines or Ways.
D40,Game Bug,Cluster Evaluation Error,"Cluster size, adjacency, or removal logic is calculated incorrectly","In matching/cascading games, the group determination of adjacent symbols is incorrect.",Group determination logs show the adjacency algorithm failed to correctly identify all connected identical symbols.
D41,Game Bug,Cascade Removal Error,Winning symbols are not removed correctly or non-winning symbols are removed,"In matching/cascading games, symbols that should disappear do not, or symbols that shouldn't disappear do.",Cascading logs show that the list of symbol coordinates to be removed does not match the winning group.
D42,Game Bug,Cascade Drop Error,Symbols fall into incorrect positions or violate gravity and fill rules,"The drop position of new symbols after cascading is incorrect, violating physical rules.","Drop logs show coordinate displacement calculation errors, causing gaps or overlaps on the board."
D43,Game Bug,Cascade Multiplier Error,"Cascade multiplier increases, resets, or applies incorrectly",The multiplier increment logic during consecutive cascades is incorrect.,"Multiplier logs show that during consecutive cascades, the multiplier fails to accumulate correctly or is erroneously reset."
D44,Game Bug,Feature Buy Price Error,Feature Buy cost differs from the configured or approved price,The deduction amount for purchased features does not match the set price.,Deduction logs show that an incorrect price multiplier or base bet amount was applied.
D45,Game Bug,Feature Buy Math Mismatch,"Purchased feature uses a different math model, trigger logic, or payout distribution than intended",The game performance after purchasing a feature does not match the specific math model for that feature.,"Logs show that after purchasing a feature, the system loaded an incorrect RTP version or trigger probability."
D46,Game Bug,Bet-Level Paytable Error,Paytable or feature behavior changes incorrectly at certain bet levels,The RTP or payout at a specific bet level shows abnormal differences compared to other levels.,Payout logs show that an incorrect paytable was applied at a specific bet amount.
ID,Category,Risk Scenario,Description,,
D47,Game Bug,Jackpot Trigger Rate Bug,Jackpot awards occur more or less frequently than the approved probability,The trigger frequency of the Jackpot is much higher or lower than the set probability.,Jackpot trigger logs show errors in the RNG determination logic or threshold settings.
D48,Game Bug,Jackpot Contribution Error,"Jackpot pool receives too much, too little, or no contribution from eligible bets",The growth rate of the Jackpot pool does not match the proportion of the players' total bets.,"Contribution logs show calculation errors in the rake percentage per round, causing abnormal pool accumulation."
D49,Game Bug,Jackpot Pool Desynchronization,Different servers or services report inconsistent jackpot pool values,The Jackpot pool amounts on different servers or nodes are inconsistent.,Synchronization logs show delays or data loss in pool state updates between servers.
D50,Game Bug,Incorrect Jackpot Tier Award,The player qualifies for one tier but another tier is awarded,The Jackpot level awarded to the player does not match the conditions they actually met.,Payout logs show a mismatch between the trigger condition and the awarded Jackpot level.
D51,Game Bug,Duplicate Jackpot Award,The same jackpot event or trigger results in multiple awards,The same Jackpot trigger event generated multiple payout records.,Settlement logs show the system processed the same Jackpot trigger event multiple times.
D52,Game Bug,Jackpot Reset Failure,The jackpot pool does not reset correctly after an award,"After a Jackpot is won, the pool is not reset or the reset amount is incorrect.",Reset logs show the logic to clear the pool or return it to the initial value was not executed correctly.
D53,Game Bug,Jackpot Eligibility Configuration Error,"Incorrect bet levels, currencies, games, or markets are considered jackpot eligible","Bets that do not meet the conditions (e.g., amount too low) triggered the Jackpot.",Eligibility determination logs show the validation logic for the bet threshold failed.
ID,Category,Risk Scenario,Description,,
D71,Game Bug,Duplicate RNG Outcome Sequence,Identical or highly similar outcome sequences repeat unexpectedly,Exactly identical consecutive game result sequences appear.,"RNG logs show repeated random number sequences generated, possibly due to a seed reset error."
D72,Game Bug,RNG Seed Reuse,"The same random seed or stream is reused across rounds, users, or servers",Different players receive exactly the same game results at the same time.,RNG initialization logs show multiple requests shared the same random number seed.
D73,Game Bug,RNG Distribution Bias,Generated random values deviate materially from the intended distribution,The appearance frequency of specific symbols or results shows significant statistical deviation.,RNG output logs show the generated random numbers are not uniformly distributed.
D74,Game Bug,RNG Sequence Correlation,Consecutive outcomes show unintended dependence,There are unwarranted correlations between the results of consecutive rounds.,"RNG logs show flaws in the random number generation algorithm, making results predictable."
D75,Game Bug,Server-Specific RNG Bias,RNG behavior differs across servers or instances,The game result distribution on a specific server is different from other servers.,RNG module logs for that server show abnormalities in its initialization or operational state.
D76,Game Bug,RNG Mapping Error,"Valid random values map to reel stops, symbols, or features using incorrect ranges",Specific game results never appear or appear at an abnormal frequency.,Mapping logs show boundary errors in the logic converting RNG values to game results.
D77,Game Bug,Unreachable Outcome Bug,Valid designed outcomes can never be generated because of mapping or configuration errors,Certain theoretically possible results have never appeared in actual data.,Mapping logs show that no RNG value can map to that specific result.
D78,Game Bug,Overrepresented Outcome Bug,Certain outcomes occur too often because multiple RNG ranges map to the same result incorrectly,The appearance frequency of certain results is much higher than the theoretical value.,Mapping logs show multiple RNG intervals are incorrectly mapped to the same result.
ID,Category,Risk Scenario,Description,,
D79,Game Bug,Configuration Drift,Servers use different game configurations without an approved reason,RTP or game performance is inconsistent across different servers within a cluster.,Startup logs show some servers loaded outdated or incorrect configuration files.
D80,Game Bug,Partial Deployment Mismatch,A release deploys only some dependent components or services,"After a new feature goes live, a large number of erroneous or invalid game results appear.",System logs show the API version requested by the frontend is incompatible with the backend service.
D81,Game Bug,Stale Configuration Cache,A server continues using an old configuration after an update,"After a configuration update, the game performance of some servers does not change accordingly.",Cache logs show servers failed to correctly clear old configurations and are still using outdated data.
D82,Game Bug,Feature Flag Inconsistency,"Feature flags differ across servers, players, or sessions unexpectedly",Players in the same region or under the same conditions experience different game features.,Feature Flag service logs show inconsistent state distribution or caching issues.
D83,Game Bug,Client-Server Version Mismatch,The client interprets results using rules incompatible with the server version,The error rate or disconnect rate for a specific client version is abnormally high.,Error logs show the client cannot parse the new data format returned by the server.
D84,Game Bug,Displayed Win Mismatch,The amount displayed to the player differs from the amount calculated or settled,Customer complaint records show the win amount claimed by the player does not match the system settlement.,"Differences exist between settlement logs and frontend display logs (if any), usually due to frontend presentation logic errors."
D85,Game Bug,Reel Display Result Mismatch,Animated reel symbols differ from the authoritative server result,"The player's screen shows a win, but the system does not pay out.","Server-side reel logs show no win, but frontend animation logic errors cause a winning board to be displayed."
D86,Game Bug,Multiplier Display Mismatch,Displayed multiplier differs from the multiplier used in win calculation,The multiplier displayed on the player's screen does not match the actual payout.,"Server-side calculation logs applied the correct multiplier, but the frontend display logic is incorrect."
D87,Game Bug,Missing Game Events,"Required bet, result, feature, or settlement events are absent from the event stream","The ratio of total bet amount to total rounds is abnormal, or funnel analysis shows a drop-off.",Event ingestion system logs show some game events were not correctly recorded or failed to transmit.
D88,Game Bug,Duplicate Game Events,Events are duplicated in the analytics or processing pipeline,The occurrence count of specific events is abnormally doubled.,Event processing system logs show the same event was received or processed repeatedly.
D89,Game Bug,Out-of-Order Events,Events arrive or are processed in an order that corrupts state reconstruction,"Player state restoration fails, or funnel analysis order is messed up.",Event timestamp logs show the arrival order of events does not match the actual occurrence order.
D90,Game Bug,Schema Drift,"Field names, types, enums, or meanings change without detector updates",Certain metrics on the monitoring dashboard suddenly become zero or show abnormal values.,Field parsing logs show inability to extract values correctly due to changes in data structure.
D91,Game Bug,Timestamp or Clock-Skew Bug,"Server clocks cause incorrect event ordering, duration, or eligibility calculations",Errors occur in time-limited events or time-dependent metric calculations.,Server time synchronization logs show significant time differences (Clock Skew) between nodes.
D92,Game Bug,Aggregation Calculation Bug,"Dashboard RTP, NetWin, trigger rate, or other KPIs are calculated incorrectly",Aggregated metrics (like total RTP) displayed on the dashboard do not match raw data calculation results.,"Aggregation task logs show logic errors in SQL or data processing scripts (e.g., double counting)."
D93,Game Bug,Voided-Round Inclusion Error,"Voided, test, incomplete, or rolled-back rounds are incorrectly included in game KPIs",Total revenue (GGR) or total bet amount is overestimated.,Aggregation logs show invalid rounds with a Void status were not correctly filtered out when calculating metrics.
D94,Game Bug,Test Data in Production Metrics,Test accounts or forced-result rounds contaminate production game monitoring,"Extreme outliers (e.g., massive payouts) appear in operational data.",Aggregation logs show event data from test accounts or test environments was not correctly excluded.
