Deterministic reconciliation and rule violations,,,,,
ID,Risk Scenario,Description,DB 數據表現,後台日誌與 RNG 情況,Detection Target
A14,Void-Round Selection Exploit,The player causes losing rounds to be voided disproportionately often,VoidRate 異常高，且 Void 的局數其預期 WinAmount 多為零。玩家透過取消未中獎注單來維持極高的 RTP。,Server 日誌顯示玩家在 RNG 產出結果後，發送特定的錯誤代碼或異常封包，觸發系統的無效局(Void)處理機制。RNG 正常，但錯誤處理邏輯被濫用。,Losing rounds selectively voided
A15,Disconnect / Reconnect Exploit,"The player disconnects at specific states to reroll, preserve favorable states, or avoid losses",DisconnectTime 集中在遊戲即將進入不利狀態或免費遊戲結束前。ReconnectCount 高，且重新連線後往往能改變原本的結果或保留有利狀態。,Server 日誌顯示頻繁的斷線與重連事件。RNG 可能已產出結果，但伺服器在處理重新連線時的狀態恢復(State Recovery)邏輯存在漏洞，導致結果被重置。,Outcome-dependent disconnection
A16,Bet Cancellation Arbitrage,The player cancels unfavorable rounds while allowing favorable rounds to complete,CancelRate 高，且 CancelTime 發生在下注後極短時間內。被取消的注單多為未中獎，而完成結算的注單(CompletedOutcome)多為中獎。,Server 日誌顯示玩家在下注後迅速發送取消請求。玩家可能透過延遲或提早解析 RNG 結果封包，在伺服器確認結算前攔截並取消不利的注單。,Cancellation correlated with round result
A17,Concurrent Session Exploit,Multiple sessions are used simultaneously to duplicate state or bypass round limits,單一帳號的 SessionCount 大於 1，且在極短時間內出現大量的 Bet 紀錄，總下注額可能超過單局上限。RTP 可能因複製有利狀態而飆高。,Server 日誌顯示來自多個 DeviceId 的併發請求。RNG 正常產出結果，但伺服器未能正確處理併發(Concurrency)時的狀態鎖定，導致進度被複製或限制被繞過。,Conflicting concurrent operations
A18,Feature Activation Timing Exploit,"A feature becomes active one spin too early or too late, and the player benefits from the timing defect",FeatureFlag 的 ActivationSpin 與 ExpectedSpin 不符。玩家在 Feature 提早生效或延遲失效的瞬間有異常的大額 Bet，導致高額 Net Win。,Server 日誌顯示特殊功能的狀態切換時間點與預期不符。RNG 產出結果時，套用了錯誤的 Feature 狀態。可能是伺服器時間差或狀態機同步延遲導致。,Feature-state timing mismatch
A19,Version Selection Exploit,The player deliberately uses a deprecated game or client version with favorable defects,特定舊版 GameVersion 或 ClientVersion 集中了異常高的 NetWin 與 RTP。玩家可能刻意拒絕更新以持續利用已知漏洞。,Server 日誌顯示玩家持續使用已被棄用的版本進行連線。該版本的 RNG 邏輯或客戶端驗證可能存在已知缺陷，伺服器未強制阻擋舊版連線。,Abnormal profit concentrated on old version
A20,Server / Configuration Selection Exploit,"The player repeatedly routes to servers with favorable paytables, reel strips, feature odds, or settings",特定 ServerId 或 ConfigHash 集中了異常高的 NetWin 與 RTP。玩家頻繁切換伺服器直到連線至賠率異常的節點。,Server 日誌顯示玩家的連線路由頻繁變動。特定的伺服器節點可能因設定錯誤(如載入錯誤的 Paytable)，導致 RNG 產出的結果對玩家極度有利。,Profit concentrated on specific server or configuration
Statistical profitability and expected-value analysis,,,,,
ID,Risk Scenario,Description,DB 數據表現,後台日誌與 RNG 情況,Detection Target
A21,Denomination Arbitrage,"The player switches denominations to exploit payout, jackpot, or feature-value inconsistencies",SwitchCount 高，玩家頻繁切換 Denomination。在累積獎金或高價值 Feature 即將觸發時，BetAmount 顯著放大，導致整體的期望值(EV)被扭曲。,Server 日誌顯示頻繁的面額切換請求。RNG 正常，但遊戲伺服器在計算進度條或 Jackpot 貢獻時，未能依比例正確縮放不同面額的價值，導致套利。,Profit associated with denomination switching
A22,Currency Rounding Exploit,Repeated small wagers generate positive value from wallet or payout rounding,玩家進行大量極小額的 Bet，RawWin 與 RoundedWin 之間存在持續的正向落差(WalletDelta)。雖然單局獲利微小，但長期累積出異常的 Net Win。,Server 日誌顯示大量微小金額的結算請求。RNG 正常，但伺服器的幣值換算或四捨五入(Rounding)邏輯存在微小偏差，被玩家利用自動化腳本大量刷取。,Accumulated positive rounding difference
A23,Feature Buy Exploit,Feature Buy usage produces returns significantly above the expected distribution,Feature Buy 的 PurchaseCount 異常高，且 FeatureBuyRTP 顯著高於理論值。玩家從 Feature Buy 中獲得的 Net Win 遠超正常分佈的尾部機率。,Server 日誌顯示密集的 Feature Buy 請求。RNG 在產出 Feature 結果時，可能受到特定條件觸發了高回報的隨機種子，或 Feature Buy 的定價模型存在漏洞。,Abnormal Feature Buy profitability
A24,Persistent Excess Return,Player results consistently exceed theoretical expectation across a meaningful sample,在龐大的樣本數(Wager)下，ActualNetWin 持續且顯著地大於 ExpectedNetWin。RTP 長期維持在不合理的水平，無法用正常的機率波動解釋。,Server 日誌可能沒有明顯的錯誤代碼。但長期的統計偏差強烈暗示 RNG 的隨機性已被破壞，或是遊戲數學模型(Math Model)存在根本性的設計缺陷。,Sustained positive deviation from expected loss
A25,Selective Feature Buy,The player purchases features only under conditions associated with unusually favorable outcomes,玩家僅在特定的 GameState 或 PreviousOutcome 下才執行 Feature Buy。這種條件式購買的 RTP 異常高，顯示玩家能預知或篩選有利時機。,Server 日誌顯示 Feature Buy 請求與特定的遊戲狀態高度相關。玩家可能透過觀察前端盤面規律或攔截特定封包，推測 RNG 的下一個狀態並選擇性購買。,Conditional Feature Buy advantage
A26,Persistence Hunting,"The player repeatedly enters games or sessions containing favorable abandoned meters, wilds, or bonus states",SessionDuration 短，玩家頻繁進入(EntryState)並退出遊戲。當進入時，遊戲通常處於高 MeterValue 或有利的遺留狀態，並迅速獲得高額 Net Win。,Server 日誌顯示玩家頻繁掃描並連線至不同的機台或房間。RNG 正常，但伺服器未正確重置前一位玩家離開時的有利狀態，被有心人士專門尋找並利用。,Entry into unusually valuable persistent states
A27,Shared Meter Capture,The player contributes little to a shared meter but repeatedly captures a disproportionate amount of its rewards,在多人共享進度條的遊戲中，玩家的 MeterContribution 極低，但 EntryTime 總在即將觸發獎勵前，並獲得不成比例的 RewardAmount。,Server 日誌顯示玩家在共享進度條即將達到臨界值時才加入遊戲並下注。RNG 正常，但遊戲機制的設計允許搭便車(Free-riding)行為，伺服器未限制貢獻比例。,Reward disproportionate to contribution
A28,Bonus Balance Conversion Exploit,Restricted bonus funds are converted into withdrawable cash more efficiently than intended,玩家在特定低波動遊戲中的 Turnover 極高，BonusBalance 快速轉換為 CashBalance，且 ExpectedLoss 極低。異常高效的洗碼行為。,Server 日誌顯示玩家利用特定遊戲進行高頻率、低風險的下注。RNG 正常，但伺服器未將這些低波動遊戲排除在 Bonus 洗碼量計算之外，導致套利。,Abnormal bonus-to-cash conversion
A29,Minimum-Risk Wagering Exploit,The player satisfies turnover requirements using games or bet patterns with unusually low theoretical loss,玩家的 BetPattern 呈現極端保守，Turnover 達標但 ActualLoss 遠低於 ExpectedLoss。通常集中在 RTP 接近 100% 或可雙邊下注的遊戲。,Server 日誌顯示特定的規律下注行為。RNG 正常，但玩家利用遊戲機制的特性(如輪盤同時下注紅黑)以極低風險刷取流水量，伺服器缺乏對此類模式的偵測。,Turnover completed below intended cost
"Advanced inference, hidden-state, and RNG analysis",,,,,
ID,Risk Scenario,Description,DB 數據表現,後台日誌與 RNG 情況,Detection Target
A30,Loss Rebate Arbitrage,The player structures wagering so rebates or cashback exceed the expected cost of play,玩家的 Wager 巨大，且刻意製造高額 ActualLoss 以獲取 Cashback 或 RebateAmount。加總返水後的整體 Net Win 為正，期望值被反轉。,Server 日誌顯示玩家在特定高波動遊戲中進行大量下注。RNG 正常，但平台的返水活動設定過於優渥，使得玩家在數學上能透過承擔高波動來確保獲利。,Positive expected value after rebate
A31,Cashback Hedging,Linked accounts or game combinations are used to reduce variance while extracting cashback,多個 LinkedUserId 在同一時間段內進行互補或反向的下注。整體的 NetWinVariance 極低，穩定獲取 Cashback。,Server 日誌顯示關聯帳號間存在協同下注行為。RNG 正常，但玩家透過多帳號對沖風險，伺服器未能識別並關聯這些帳號的資金流動與下注模式。,Low-risk turnover across linked entities
A32,Bet Timing Exploit,The player increases or changes wagers shortly before high-value outcomes more often than expected,BetChange 劇烈，玩家在即將開出大獎(如進入 FeatureState)的前幾局，BetAmount 異常放大。下注金額的變化與未來的 WinAmount 呈現高度相關。,Server 日誌顯示下注金額的改變具有預測性。這可能暗示 RNG 的結果被提前外洩，或是玩家掌握了某種能預測未來狀態的規律(Oracle)。,Bet decisions predictive of future wins
A33,Hidden State Observation Exploit,"The player infers internal meters, feature readiness, or hidden game state from client data or behavior",玩家的 ExitTime 或 PurchaseDecision 與未公開的 HiddenState 高度相關。玩家似乎能根據隱藏狀態來決定是否繼續下注或購買 Feature。,Server 日誌可能顯示正常下注，但數據分析指出玩家行為與內部狀態相關。這通常意味著伺服器在 API 回應中不慎洩漏了隱藏狀態(Data Leakage)，被玩家解析利用。,Player actions correlated with hidden state
A34,Response Timing Oracle,"API latency differences reveal future outcomes, feature eligibility, or hidden state",ResponseTime 與 OutcomeType 或 GameState 呈現相關性。玩家利用 API 回應時間的微小差異來預測結果，並據此調整下注策略。,Server 日誌顯示不同結果的運算時間存在差異(Timing Side-Channel)。例如開大獎前伺服器需要額外運算，導致回應延遲，玩家藉此延遲來預知 RNG 結果。,Response time predicts internal state
A35,Jackpot Timing Exploit,The player enters or raises bets immediately before jackpot awards at a rate unlikely to occur randomly,在 JackpotPool 即將達到觸發條件前，特定玩家的 BetChange 劇增。EntryTime 集中在極高價值的時間點，獲得 Jackpot 的機率異常高。,Server 日誌顯示針對 Jackpot 臨界值的精準狙擊。玩家可能透過監控前端公開的 Jackpot 金額增長速率，推算出 RNG 觸發的時機，並使用自動化腳本大量湧入下注。,Player behavior predictive of jackpot timing
A36,Predictable RNG Exploit,"Player behavior indicates partial prediction of RNG, reel stops, or high-value outcomes",OutcomeSequence 呈現非隨機特徵，玩家的 BetDecision 能準確預測 ReelStops 或高價值結果。RTP 極度異常，且幾乎沒有失敗的預測。,Server 日誌可能無異常，但深度的 RNG 分析(如 Entropy Analysis)會發現隨機數序列被破解。玩家掌握了 RNG 的種子(Seed)或生成演算法，能完全預測未來的盤面結果。,Decisions contain information about future results
