ID,Category,Risk Scenario,Description,DB Performance,Backend Log Status
ID,Category,Risk Scenario,Description,,
E25,Player Risk,Loss Chasing,Player increases wagering intensity after accumulating losses,"After accumulating losses (CumulativeLoss) increase, the player's bet amount (BetAmount) and deposit frequency rise significantly.","Betting and deposit logs show continuous losses trigger aggressive fund injection, triggering responsible gaming (RG) monitoring metrics."
E26,Player Risk,Extended Continuous Play,Player plays continuously for an unusually long period without meaningful breaks,"The player's single session duration (SessionDuration) is extremely long, and the spin count (SpinCount) and bets per minute remain stable with no obvious breaks.","Session logs show abnormally long online time and continuous operations, suspecting the use of scripts for auto-play or indicating severe addiction risks."
E27,Player Risk,High Session Frequency,Player repeatedly returns within short intervals over a sustained period,"The player's daily session count (SessionsPerDay) is extremely high, and the time between sessions (TimeBetweenSessions) is extremely short.","Login/logout logs roll frequently, possibly performing some kind of state refresh, vulnerability testing, or account sharing."
E28,Player Risk,Session Intensity Spike,Bets per minute or wager volume suddenly rises relative to the player・s normal behavior,The player's bets per minute (BetsPerMinute) or turnover per hour (TurnoverPerHour) show a sudden spike compared to their historical baseline.,"Operation logs show a sudden massive increase in click frequency or API request frequency, possibly switching to script operations or discovering an exploitable vulnerability."
E29,Player Risk,Rapid Deposit Escalation,Deposit frequency or amount rises sharply over a short period,"The player's deposit count (DepositCount) and deposit amount (DepositAmount) rise sharply in a short period, deviating from historical baselines.","Payment gateway logs record dense and high-value deposit requests, requiring defense against card fraud, money laundering, or extreme loss-chasing behavior."
E30,Player Risk,Repeated Redeposit After Loss,Player repeatedly deposits soon after exhausting or losing existing funds,"After exhausting the balance or experiencing a large loss (LossAmount), the time until the next deposit (TimeToRedeposit) is extremely short and occurs frequently.","Wallet balance zeroing logs and subsequent deposit logs are closely linked in time, showing a typical impulsive post-loss deposit pattern."
E31,Player Risk,Near-Zero Balance Persistence,Player repeatedly continues play until the balance is almost fully depleted,"Under conditions of extremely low account balance (EndingBalance), the player continues to play with small bets until the balance is completely exhausted.","Wallet logs show frequent tiny balance deductions; the player is extremely eager to continue playing, which is a responsible gaming concern metric."
E32,Player Risk,Volatility Seeking Escalation,Player progressively moves toward higher-volatility games or features after losses,"After experiencing a losing streak (LossStreak), the player shifts to playing high-volatility games (GameVolatility) or increases the feature buy rate (FeatureBuyRate).","Game switching logs show the player moving from low-risk games to high-risk, high-reward game modes, attempting to recover losses with high volatility."
E33,Player Risk,Sudden High-Stakes Transition,Player abruptly changes from low stakes to substantially higher stakes,"The ratio (BetRatio) of the player's current bet (CurrentBet) to their median bet (MedianBet) suddenly changes, deviating significantly from their personal baseline.","Betting logs show an unreasonable jump in bet magnitude, requiring confirmation of whether it was operated by the user or the account was compromised."
E34,Player Risk,Repeated Limit Adjustment,"Player repeatedly raises or removes deposit, loss, or session limits","The number of times the player modifies deposit, loss, or session time limits (LimitChangeCount) is frequent, constantly attempting to relax limits.","Account settings logs or customer service ticketing systems record multiple limit modification requests, showing the player cannot control their own behavior."
ID,Category,Risk Scenario,Description,,
E35,Player Risk,Rapid Withdrawal After Big Win,Player requests withdrawal immediately after a rare or abnormal win,"After receiving an abnormally large payout (WinAmount), the player initiates a large withdrawal (WithdrawalAmount) within an extremely short time (TimeToWithdrawal).","Payout logs and withdrawal request logs are closely linked, requiring a hold on the withdrawal and verification of the legality of the grand prize."
E36,Player Risk,Low-Turnover Withdrawal,Player withdraws funds after little or no qualifying gameplay,"The ratio (TurnoverRatio) of the player's total bet (TotalBet) to deposit amount (DepositAmount) is extremely low, followed immediately by a withdrawal request.","Fund flow logs show a lack of substantial gaming behavior, with quick withdrawals after depositing, highly suspected of money laundering or abusing first-deposit bonuses."
E37,Player Risk,Repeated Withdrawal Cancellation,Player repeatedly cancels withdrawals and returns funds to gameplay,"The number of times the player cancels withdrawals (CancellationCount) is frequent, and after cancellation, the funds are quickly used for subsequent bets (SubsequentBet).",Withdrawal system logs record repeated application and cancellation operations; the player might be using the withdrawal review time gap for impulsive betting.
E38,Player Risk,Bonus-to-Cash Conversion,Player converts bonus balance into withdrawable funds unusually efficiently,"The efficiency of the player converting bonuses (BonusAmount) to cash (CashBalance) is abnormally high, and the actual loss (ExpectedLoss) is far below expectations.","Conversion logs between bonus wallets and cash wallets show an abnormally high conversion rate, possibly utilizing hedging bets or specific game vulnerabilities to wash bonuses."
E39,Player Risk,Deposit-Withdrawal Cycling,Funds repeatedly enter and leave the account with limited genuine gameplay,"The player's deposits (DepositCount) and withdrawals (WithdrawalCount) cycle frequently, but net gaming activity (NetGamingActivity) and turnover are extremely low.","Payment logs show funds quickly moving in and out of the account, forming a closed loop, lacking genuine entertainment purposes, which is a high-risk money laundering characteristic."
E40,Player Risk,Payment Instrument Switching,Player frequently changes deposit or withdrawal instruments,"The number of payment methods used by the player (PaymentMethodCount) is large, and the switching frequency (SwitchFrequency) is abnormally high.","Payment gateway logs record fund injections from multiple different sources, requiring strict KYC verification to prevent credit card fraud."
E41,Player Risk,Withdrawal Destination Change,Player changes withdrawal destination immediately before cashing out,"Right before initiating a withdrawal, the player changes the historical withdrawal destination (PreviousDestination) to a new target account (NewDestination).","Account settings logs show withdrawal binding information is modified, immediately followed by a large withdrawal, highly suspected of account compromise or fund hijacking."
E42,Player Risk,Chargeback-Linked Gameplay,Player continues high-risk wagering after deposits likely to be disputed or charged back,The player's high-value bets (WageredAmount) are funded by deposits that subsequently result in chargebacks/reversals (ChargebackCount).,The payment system receives Chargeback notices from the bank; tracing the game logs of those funds reveals they were used for high-risk betting.
ID,Category,Risk Scenario,Description,,
E43,Player Risk,Sudden Behavior Profile Shift,"Player・s game choice, bet size, session time, and device pattern change abruptly","The player's bet amount, game preference (GameMix), session time, and device (DeviceId) shift drastically from their historical behavioral baseline.","Login and operation logs show behavioral characteristics (such as IP, UA, click rhythm) completely different from the past, suspecting account ownership change or compromise."
E44,Player Risk,Dormant Account High-Stakes Reactivation,A previously inactive account returns and immediately wagers unusually large amounts,"An account inactive for many days (DaysInactive) suddenly reactivates, and the initial bet (InitialBet) and session intensity (SessionIntensity) are abnormally huge.","Login logs show a long-inactive account suddenly comes online, immediately followed by extreme high-value operations in payment and game logs."
E45,Player Risk,New Device with High-Value Activity,"A new device is immediately used for large bets, Feature Buy, or withdrawal",A new device (DeviceId) used by the player for the first time immediately generates high-value bet (BetAmount) or withdrawal (WithdrawalAmount) behaviors.,"The device fingerprinting system records brand new hardware characteristics, followed by high-risk fund operations in the logs, requiring step-up authentication."
E46,Player Risk,Concurrent Session Activity,The same account plays through multiple simultaneous sessions,"The number of sessions for the same account (SessionCount) is greater than 1, and there are overlapping spin records (OverlappingSpins).","Server logs show the same account receiving bet requests from different IPs or devices at the same time, violating the single-login rule."
E47,Player Risk,Geographic Behavior Shift,Gameplay or withdrawal activity occurs from a location inconsistent with the player・s history,"The player's login IP region (IPRegion) suddenly changes, and the two login times (LoginTime) cannot satisfy physical travel over the geographical distance.","Geolocation logs trigger 'Impossible-Travel' alerts, highly suspecting account compromise or the use of proxy servers."
E48,Player Risk,Server-Specific Profit Concentration,Player profits primarily on one server or cluster,The player's net win (NetWin) and abnormal RTP are highly concentrated on a specific server ID (ServerId) or cluster.,"Cluster logs show payout results on a specific server node are abnormally high, requiring inspection of the server's RNG module or configuration files for corruption."
E49,Player Risk,Version-Specific Profit Concentration,Player earns abnormal returns only on one client or game version,The player's abnormal profit only occurs in a specific game version (GameVersion) or client version (ClientVersion).,"Version logs show high-value payouts all come from old versions or specific client version numbers, suspecting known or unknown logic vulnerabilities in that version."
E50,Player Risk,Peer-Cohort RTP Divergence,Player・s performance differs materially from similar players under the same conditions,"The player's actual RTP under specific conditions significantly deviates from the average RTP of other players under the same conditions (e.g., same BetMode, Market).","Statistical logs show the player's payout distribution severely diverges from the control group, requiring manual intervention to investigate if external assistance tools were used."
E51,Player Risk,Mode-Specific Expected-Loss Deviation,Player performs normally in most modes but abnormally in one mode,The player's actual net win (ActualNetWin) in a specific game mode (GameMode) is far higher than the expected net win (ExpectedNetWin) for that mode.,"Mode switching and payout logs show abnormal returns are precisely isolated within a specific mode, suggesting the mathematical model of that mode might be cracked."
E52,Player Risk,Promotion-Dependent Profitability,"Player is profitable only when promotions, rebates, or cashback are active","The player's net win (NetWin) is only positive when a specific promotion (PromotionId) is active, and shows a loss otherwise.","Cross-referencing activity logs and game logs reveals the player precisely utilizes promotion rules (like rebates, subsidies) to cover the game's expected losses, possibly indicating arbitrage behavior."
E53,Player Risk,Inconsistent Risk Signals,"High-risk results appear in one dataset but not in wallet, game, or session records",Key metrics (such as WalletDelta and payout amounts in game logs) across different data sources (DataSource) are severely inconsistent.,"Cross-system reconciliation logs show abnormal discrepancies, which could be data loss, synchronization delays, or malicious database tampering, requiring a halt to automated processing and alerting the data team."
